values,timeline,satellite
0.1787,2017-08-13T00:00:00,S2-SEN2COR_10_16D_STK-1
0.1184,2017-08-29T00:00:00,S2-SEN2COR_10_16D_STK-1
0.1207,2017-09-14T00:00:00,S2-SEN2COR_10_16D_STK-1
0.1227,2017-09-30T00:00:00,S2-SEN2COR_10_16D_STK-1
0.1023,2017-10-16T00:00:00,S2-SEN2COR_10_16D_STK-1
-0.0243,2017-11-01T00:00:00,S2-SEN2COR_10_16D_STK-1
0.3368,2017-11-17T00:00:00,S2-SEN2COR_10_16D_STK-1
0.1189,2017-12-03T00:00:00,S2-SEN2COR_10_16D_STK-1
0.218,2017-12-19T00:00:00,S2-SEN2COR_10_16D_STK-1
0.4262,2018-01-01T00:00:00,S2-SEN2COR_10_16D_STK-1
0.1313,2018-01-17T00:00:00,S2-SEN2COR_10_16D_STK-1
0.6207,2018-02-02T00:00:00,S2-SEN2COR_10_16D_STK-1
0.871,2018-02-18T00:00:00,S2-SEN2COR_10_16D_STK-1
0.5452,2018-03-06T00:00:00,S2-SEN2COR_10_16D_STK-1
0.6846,2018-03-22T00:00:00,S2-SEN2COR_10_16D_STK-1
0.3015,2018-04-07T00:00:00,S2-SEN2COR_10_16D_STK-1
0.2942,2018-04-23T00:00:00,S2-SEN2COR_10_16D_STK-1
0.3181,2018-05-09T00:00:00,S2-SEN2COR_10_16D_STK-1
0.2637,2018-05-25T00:00:00,S2-SEN2COR_10_16D_STK-1
0.245,2018-06-10T00:00:00,S2-SEN2COR_10_16D_STK-1
0.2292,2018-06-26T00:00:00,S2-SEN2COR_10_16D_STK-1
0.2221,2018-07-12T00:00:00,S2-SEN2COR_10_16D_STK-1
