values,timeline,satellite
5004.0,2017-01-01T00:00:00,S2-SEN2COR_10_16D_STK-1
8466.5,2017-01-17T00:00:00,S2-SEN2COR_10_16D_STK-1
-9999.0,2017-02-02T00:00:00,S2-SEN2COR_10_16D_STK-1
9295.0,2017-02-18T00:00:00,S2-SEN2COR_10_16D_STK-1
5359.0,2017-03-06T00:00:00,S2-SEN2COR_10_16D_STK-1
385.0,2017-03-22T00:00:00,S2-SEN2COR_10_16D_STK-1
-9999.0,2017-04-07T00:00:00,S2-SEN2COR_10_16D_STK-1
3465.0,2017-04-23T00:00:00,S2-SEN2COR_10_16D_STK-1
5699.0,2017-05-09T00:00:00,S2-SEN2COR_10_16D_STK-1
-9999.0,2017-05-25T00:00:00,S2-SEN2COR_10_16D_STK-1
3370.0,2017-06-10T00:00:00,S2-SEN2COR_10_16D_STK-1
2784.5,2017-06-26T00:00:00,S2-SEN2COR_10_16D_STK-1
2085.0,2017-07-12T00:00:00,S2-SEN2COR_10_16D_STK-1
1979.0,2017-07-28T00:00:00,S2-SEN2COR_10_16D_STK-1
1882.5,2017-08-13T00:00:00,S2-SEN2COR_10_16D_STK-1
1691.0,2017-08-29T00:00:00,S2-SEN2COR_10_16D_STK-1
1680.0,2017-09-14T00:00:00,S2-SEN2COR_10_16D_STK-1
1607.0,2017-09-30T00:00:00,S2-SEN2COR_10_16D_STK-1
1757.0,2017-10-16T00:00:00,S2-SEN2COR_10_16D_STK-1
978.5,2017-11-01T00:00:00,S2-SEN2COR_10_16D_STK-1
1787.0,2017-11-17T00:00:00,S2-SEN2COR_10_16D_STK-1
2181.5,2017-12-03T00:00:00,S2-SEN2COR_10_16D_STK-1
3058.0,2017-12-19T00:00:00,S2-SEN2COR_10_16D_STK-1
4819.5,2018-01-01T00:00:00,S2-SEN2COR_10_16D_STK-1
1349.5,2018-01-17T00:00:00,S2-SEN2COR_10_16D_STK-1
3000.5,2018-02-02T00:00:00,S2-SEN2COR_10_16D_STK-1
8857.0,2018-02-18T00:00:00,S2-SEN2COR_10_16D_STK-1
2566.0,2018-03-06T00:00:00,S2-SEN2COR_10_16D_STK-1
1891.0,2018-03-22T00:00:00,S2-SEN2COR_10_16D_STK-1
5533.5,2018-04-07T00:00:00,S2-SEN2COR_10_16D_STK-1
6399.5,2018-04-23T00:00:00,S2-SEN2COR_10_16D_STK-1
6609.5,2018-05-09T00:00:00,S2-SEN2COR_10_16D_STK-1
4777.5,2018-05-25T00:00:00,S2-SEN2COR_10_16D_STK-1
2711.5,2018-06-10T00:00:00,S2-SEN2COR_10_16D_STK-1
2403.0,2018-06-26T00:00:00,S2-SEN2COR_10_16D_STK-1
