values,timeline,satellite
-0.9999,2017-01-01T00:00:00,S2-SEN2COR_10_16D_STK-1
0.1117,2017-01-17T00:00:00,S2-SEN2COR_10_16D_STK-1
-0.9999,2017-02-02T00:00:00,S2-SEN2COR_10_16D_STK-1
0.0678,2017-02-18T00:00:00,S2-SEN2COR_10_16D_STK-1
0.5722,2017-03-06T00:00:00,S2-SEN2COR_10_16D_STK-1
0.7707,2017-03-22T00:00:00,S2-SEN2COR_10_16D_STK-1
0.7368,2017-04-07T00:00:00,S2-SEN2COR_10_16D_STK-1
-0.9999,2017-04-23T00:00:00,S2-SEN2COR_10_16D_STK-1
0.7615,2017-05-09T00:00:00,S2-SEN2COR_10_16D_STK-1
0.7738,2017-05-25T00:00:00,S2-SEN2COR_10_16D_STK-1
0.6953,2017-06-10T00:00:00,S2-SEN2COR_10_16D_STK-1
0.6308,2017-06-26T00:00:00,S2-SEN2COR_10_16D_STK-1
0.5535,2017-07-12T00:00:00,S2-SEN2COR_10_16D_STK-1
0.5317,2017-07-28T00:00:00,S2-SEN2COR_10_16D_STK-1
0.461,2017-08-13T00:00:00,S2-SEN2COR_10_16D_STK-1
0.3472,2017-08-29T00:00:00,S2-SEN2COR_10_16D_STK-1
0.2878,2017-09-14T00:00:00,S2-SEN2COR_10_16D_STK-1
-0.018,2017-09-30T00:00:00,S2-SEN2COR_10_16D_STK-1
0.2889,2017-10-16T00:00:00,S2-SEN2COR_10_16D_STK-1
0.004,2017-11-01T00:00:00,S2-SEN2COR_10_16D_STK-1
0.385,2017-11-17T00:00:00,S2-SEN2COR_10_16D_STK-1
0.713,2017-12-03T00:00:00,S2-SEN2COR_10_16D_STK-1
0.2899,2017-12-19T00:00:00,S2-SEN2COR_10_16D_STK-1
0.0854,2018-01-01T00:00:00,S2-SEN2COR_10_16D_STK-1
0.7677,2018-01-17T00:00:00,S2-SEN2COR_10_16D_STK-1
0.3542,2018-02-02T00:00:00,S2-SEN2COR_10_16D_STK-1
0.7001,2018-02-18T00:00:00,S2-SEN2COR_10_16D_STK-1
0.6732,2018-03-06T00:00:00,S2-SEN2COR_10_16D_STK-1
0.0573,2018-03-22T00:00:00,S2-SEN2COR_10_16D_STK-1
0.5123,2018-04-07T00:00:00,S2-SEN2COR_10_16D_STK-1
0.6324,2018-04-23T00:00:00,S2-SEN2COR_10_16D_STK-1
0.5769,2018-05-09T00:00:00,S2-SEN2COR_10_16D_STK-1
0.6819,2018-05-25T00:00:00,S2-SEN2COR_10_16D_STK-1
0.6868,2018-06-10T00:00:00,S2-SEN2COR_10_16D_STK-1
0.652,2018-06-26T00:00:00,S2-SEN2COR_10_16D_STK-1
0.3472,2018-07-12T00:00:00,S2-SEN2COR_10_16D_STK-1
0.5719,2018-07-28T00:00:00,S2-SEN2COR_10_16D_STK-1
0.2826,2018-08-13T00:00:00,S2-SEN2COR_10_16D_STK-1
0.5291,2018-08-29T00:00:00,S2-SEN2COR_10_16D_STK-1
0.4737,2018-09-14T00:00:00,S2-SEN2COR_10_16D_STK-1
0.4554,2018-09-30T00:00:00,S2-SEN2COR_10_16D_STK-1
0.0804,2018-10-16T00:00:00,S2-SEN2COR_10_16D_STK-1
-0.9999,2018-11-01T00:00:00,S2-SEN2COR_10_16D_STK-1
0.4546,2018-11-17T00:00:00,S2-SEN2COR_10_16D_STK-1
0.5025,2018-12-03T00:00:00,S2-SEN2COR_10_16D_STK-1
0.6544,2018-12-19T00:00:00,S2-SEN2COR_10_16D_STK-1
0.7877,2019-01-01T00:00:00,S2-SEN2COR_10_16D_STK-1
0.691,2019-01-17T00:00:00,S2-SEN2COR_10_16D_STK-1
0.6406,2019-02-02T00:00:00,S2-SEN2COR_10_16D_STK-1
0.6146,2019-02-18T00:00:00,S2-SEN2COR_10_16D_STK-1
0.7542,2019-03-06T00:00:00,S2-SEN2COR_10_16D_STK-1
0.7397,2019-03-22T00:00:00,S2-SEN2COR_10_16D_STK-1
0.7159,2019-04-07T00:00:00,S2-SEN2COR_10_16D_STK-1
0.7251,2019-04-23T00:00:00,S2-SEN2COR_10_16D_STK-1
0.6481,2019-05-09T00:00:00,S2-SEN2COR_10_16D_STK-1
0.5767,2019-05-25T00:00:00,S2-SEN2COR_10_16D_STK-1
0.5467,2019-06-10T00:00:00,S2-SEN2COR_10_16D_STK-1
0.6442,2019-06-26T00:00:00,S2-SEN2COR_10_16D_STK-1
0.494,2019-07-12T00:00:00,S2-SEN2COR_10_16D_STK-1
0.5338,2019-07-28T00:00:00,S2-SEN2COR_10_16D_STK-1
0.4498,2019-08-13T00:00:00,S2-SEN2COR_10_16D_STK-1
0.4141,2019-08-29T00:00:00,S2-SEN2COR_10_16D_STK-1
0.3431,2019-09-14T00:00:00,S2-SEN2COR_10_16D_STK-1
-0.0392,2019-09-30T00:00:00,S2-SEN2COR_10_16D_STK-1
-0.0231,2019-10-16T00:00:00,S2-SEN2COR_10_16D_STK-1
0.4854,2019-11-01T00:00:00,S2-SEN2COR_10_16D_STK-1
-0.0308,2019-11-17T00:00:00,S2-SEN2COR_10_16D_STK-1
0.5441,2019-12-03T00:00:00,S2-SEN2COR_10_16D_STK-1
0.6907,2019-12-19T00:00:00,S2-SEN2COR_10_16D_STK-1
0.5703,2020-01-01T00:00:00,S2-SEN2COR_10_16D_STK-1
0.1372,2020-01-17T00:00:00,S2-SEN2COR_10_16D_STK-1
0.608,2020-02-02T00:00:00,S2-SEN2COR_10_16D_STK-1
0.0697,2020-02-18T00:00:00,S2-SEN2COR_10_16D_STK-1
0.3832,2020-03-05T00:00:00,S2-SEN2COR_10_16D_STK-1
0.7618,2020-03-21T00:00:00,S2-SEN2COR_10_16D_STK-1
0.3293,2020-04-06T00:00:00,S2-SEN2COR_10_16D_STK-1
0.8025,2020-04-22T00:00:00,S2-SEN2COR_10_16D_STK-1
0.7248,2020-05-08T00:00:00,S2-SEN2COR_10_16D_STK-1
0.7597,2020-05-24T00:00:00,S2-SEN2COR_10_16D_STK-1
0.7167,2020-06-09T00:00:00,S2-SEN2COR_10_16D_STK-1
0.71,2020-06-25T00:00:00,S2-SEN2COR_10_16D_STK-1
0.6027,2020-07-11T00:00:00,S2-SEN2COR_10_16D_STK-1
0.5081,2020-07-27T00:00:00,S2-SEN2COR_10_16D_STK-1
0.4809,2020-08-12T00:00:00,S2-SEN2COR_10_16D_STK-1
0.4435,2020-08-28T00:00:00,S2-SEN2COR_10_16D_STK-1
0.3718,2020-09-13T00:00:00,S2-SEN2COR_10_16D_STK-1
-0.0139,2020-09-29T00:00:00,S2-SEN2COR_10_16D_STK-1
0.3304,2020-10-15T00:00:00,S2-SEN2COR_10_16D_STK-1
0.0883,2020-10-31T00:00:00,S2-SEN2COR_10_16D_STK-1
0.6472,2020-11-16T00:00:00,S2-SEN2COR_10_16D_STK-1
